SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,3.13148155871,,,,,,,,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,90,s,a,0,17.2657800776,-1.0,4.35728043526,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,90,s,s,1,9.00795235452,-1.0,1.52433120856,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,0,a,a,1,6.34141967605,-1.0,1.27437499799,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,0,a,a,1,2.44986670687,-1.0,1.08285090097,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,0,a,s,0,2.90832288054,-1.0,1.23272113666,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,90,s,s,1,4.66653684889,0.253955901427,2.99926440159,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,90,s,a,0,2.40007987964,-1.0,2.32429303315,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,90,s,s,1,2.14181137499,-1.0,1.68260965806,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,90,s,a,0,1.51679942512,-1.0,1.3243209429,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.0083,1,1.0083,1,4,9,4,,,,,,,,,,,,,,,,,,,0,a,a,1,1.36683808173,-1.0,0.991007285408,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.133,16,1.133,2,0,10,0,,,,,,,,,,,,,,,,,,,90,s,s,1,4.57490111286,0.301594567788,3.81587968651,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.067,8,1.067,2,1,11,1,,,,,,,,,,,,,,,,,,,90,s,a,0,4.58324292071,-1.0,1.37438237644,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.033,4,1.033,2,2,12,2,,,,,,,,,,,,,,,,,,,0,a,a,1,2.89999679198,-1.0,0.866097992102,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.017,2,1.017,2,3,13,3,,,,,,,,,,,,,,,,,,,0,a,s,0,5.18319576285,-1.0,0.782732204325,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.0083,1,1.0083,2,4,14,4,,,,,,,,,,,,,,,,,,,0,a,a,1,0.591803515346,-1.0,1.04109117506,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.133,16,1.133,3,0,15,0,,,,,,,,,,,,,,,,,,,90,s,s,1,5.13322896583,0.301594567788,2.32431613087,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.067,8,1.067,3,1,16,1,,,,,,,,,,,,,,,,,,,90,s,a,0,2.4500915889,-0.296894789044,1.65763780841,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.033,4,1.033,3,2,17,2,,,,,,,,,,,,,,,,,,,0,a,s,0,2.32497313285,-1.52590218967e-05,3.00760813425,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.017,2,1.017,3,3,18,3,,,,,,,,,,,,,,,,,,,0,a,a,1,2.78330932667,-0.523460746166,2.16600977162,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.0083,1,1.0083,3,4,19,4,,,,,,,,,,,,,,,,,,,90,s,a,0,1.24174625223,-1.0,0.974241223666,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.133,16,1.133,4,0,20,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.3667957359,0.206347753109,4.15747355792,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.067,8,1.067,4,1,21,1,,,,,,,,,,,,,,,,,,,0,a,s,0,2.16666869841,0.206347753109,0.666122693837,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.033,4,1.033,4,2,22,2,,,,,,,,,,,,,,,,,,,90,s,a,0,2.10009431571,-0.695338368811,1.64101706986,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
0.017,2,1.017,4,3,23,3,,,,,,,,,,,,,,,,,,,90,s,s,1,1.20849290547,0.666651407645,1.1910239671,,,,,01,w,20,r,119.678343264,MaskierungsExperimentExpra,2016_Dez_12_0909,
