SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,25.7651331906,,,,,,,,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,90,s,s,1,2.86662979583,-0.867215991455,19.3897214412,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,90,s,s,1,4.13329513651,-1.0,2.89921461266,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,90,s,a,0,6.45807792151,-1.0,2.96592922852,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,90,s,a,0,4.33322693402,-1.0,1.48272770202,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,0,a,a,1,5.10816126586,-1.0,1.74938790987,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.90836709239,1.0,2.44101991923,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,0,a,a,1,4.37492958397,-0.359395742733,6.34066440651,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,90,s,s,1,2.40831063125,-0.929716945144,3.46590998041,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,90,s,a,0,3.40829683676,-1.0,1.56603451572,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.0083,1,1.0083,1,4,9,4,,,,,,,,,,,,,,,,,,,90,s,a,0,3.35825397762,-1.0,1.46605177487,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.133,16,1.133,2,0,10,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.96677774969,1.0,2.0492475911,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.067,8,1.067,2,1,11,1,,,,,,,,,,,,,,,,,,,90,s,s,1,4.05830062223,0.841245136187,7.87388794003,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.033,4,1.033,2,2,12,2,,,,,,,,,,,,,,,,,,,0,a,s,0,2.3499901193,-0.898466468299,3.66593513128,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.017,2,1.017,2,3,13,3,,,,,,,,,,,,,,,,,,,90,s,s,1,1.91669735672,-0.921904325933,4.58254843789,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.0083,1,1.0083,2,4,14,4,,,,,,,,,,,,,,,,,,,0,a,a,1,2.59990157796,-0.953154802777,2.732756895,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.133,16,1.133,3,0,15,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.66678974768,1.0,1.36600679843,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.067,8,1.067,3,1,16,1,,,,,,,,,,,,,,,,,,,90,s,s,1,1.01680328553,0.841245136187,3.5825500419,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.033,4,1.033,3,2,17,2,,,,,,,,,,,,,,,,,,,0,a,a,1,2.84164606049,0.277759975586,9.10720463443,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.017,2,1.017,3,3,18,3,,,,,,,,,,,,,,,,,,,90,s,s,1,2.28337463124,-0.609399557488,2.84927408934,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.0083,1,1.0083,3,4,19,4,,,,,,,,,,,,,,,,,,,0,a,s,0,2.69163585899,-0.406271458,1.7660763483,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.133,16,1.133,4,0,20,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.25841816406,1.0,1.64104474931,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.067,8,1.067,4,1,21,1,,,,,,,,,,,,,,,,,,,0,a,a,1,0.933453163556,1.0,2.28265956368,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.033,4,1.033,4,2,22,2,,,,,,,,,,,,,,,,,,,90,s,s,1,1.90841360868,0.0952315556573,3.11588938492,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.017,2,1.017,4,3,23,3,,,,,,,,,,,,,,,,,,,90,s,s,1,4.69987726117,-0.289082169833,3.69094356837,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.0083,1,1.0083,4,4,24,4,,,,,,,,,,,,,,,,,,,90,s,a,0,1.79199105091,-0.679713130388,2.58238514969,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.133,16,1.133,5,0,25,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.25008886214,1.0,1.75767197872,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.067,8,1.067,5,1,26,1,,,,,,,,,,,,,,,,,,,0,a,a,1,1.05011279397,1.0,2.54098020395,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.033,4,1.033,5,2,27,2,,,,,,,,,,,,,,,,,,,90,s,a,0,2.81664500184,-0.359395742733,6.14077078444,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.017,2,1.017,5,3,28,3,,,,,,,,,,,,,,,,,,,90,s,s,1,1.21673732864,-0.882841229877,1.44107830519,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.0083,1,1.0083,5,4,29,4,,,,,,,,,,,,,,,,,,,90,s,a,0,2.08337482372,-0.90627908751,2.3159969819,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.133,16,1.133,6,0,30,0,,,,,,,,,,,,,,,,,,,0,a,a,1,1.0085060638,1.0,2.00762899126,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.067,8,1.067,6,1,31,1,,,,,,,,,,,,,,,,,,,90,s,s,1,0.941844701057,0.896818493935,3.28257005994,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.033,4,1.033,6,2,32,2,,,,,,,,,,,,,,,,,,,0,a,a,1,1.00850413899,0.53966582742,3.54086599846,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.017,2,1.017,6,3,33,3,,,,,,,,,,,,,,,,,,,90,s,a,0,1.9833981781,-0.492210269322,5.52409222671,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.0083,1,1.0083,6,4,34,4,,,,,,,,,,,,,,,,,,,0,a,a,1,2.77505238696,-0.625024795911,2.93253406596,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.133,16,1.133,7,0,35,0,,,,,,,,,,,,,,,,,,,90,s,s,1,0.950101180936,1.0,1.86614666809,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
0.067,8,1.067,7,1,36,1,,,,,,,,,,,,,,,,,,,90,s,s,1,1.15008366515,0.825375753414,1.92436580662,,,14,f,20,r,120.00492772,MaskierungsExperimentExpra,2016_Dez_19_1058,
