SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,10.7557035379,,,,,,,,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.90838184928,-0.359395742733,3.27406624175,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,0,a,a,1,1.93339317359,-0.210955977722,1.9327053742,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,0,a,a,1,3.69162591413,-1.0,1.10773748648,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,90,s,s,1,2.20835028237,-1.0,0.566108941777,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,90,s,a,0,2.25833988839,-1.0,1.87438710787,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.18345605077,0.420614938582,1.96600108816,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,0,a,s,0,1.06683202938,-0.210955977722,1.94918561216,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,90,s,a,0,0.925127069654,-0.445334554055,1.84100541899,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,90,s,s,1,0.866834788277,0.436514839399,0.699356920404,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.0083,1,1.0083,1,4,9,4,,,,,,,,,,,,,,,,,,,0,a,a,1,2.55832692799,-0.1250171664,1.28274297219,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.133,16,1.133,2,0,10,0,,,,,,,,,,,,,,,,,,,0,a,s,0,1.13345072546,-0.1250171664,0.82440231388,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.067,8,1.067,2,1,11,1,,,,,,,,,,,,,,,,,,,0,a,s,0,1.10842624827,-0.445334554055,1.7993958016,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.033,4,1.033,2,2,12,2,,,,,,,,,,,,,,,,,,,0,a,s,0,1.29175558227,-0.601586938277,1.47435284622,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.017,2,1.017,2,3,13,3,,,,,,,,,,,,,,,,,,,90,s,a,0,1.25845184827,-0.460959792477,0.966061398927,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.0083,1,1.0083,2,4,14,4,,,,,,,,,,,,,,,,,,,90,s,a,0,1.00011324309,-0.554711223011,0.874413092826,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.133,16,1.133,3,0,15,0,,,,,,,,,,,,,,,,,,,0,a,a,1,1.30012273883,0.857145037003,1.64936378557,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.067,8,1.067,3,1,16,1,,,,,,,,,,,,,,,,,,,90,s,s,1,1.34177181485,0.563469901579,0.766080518724,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.033,4,1.033,3,2,17,2,,,,,,,,,,,,,,,,,,,0,a,s,0,0.983472924957,-0.171892881666,1.32437985774,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.017,2,1.017,3,3,18,3,,,,,,,,,,,,,,,,,,,0,a,s,0,0.950086424046,-0.171892881666,0.93279199073,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.0083,1,1.0083,3,4,19,4,,,,,,,,,,,,,,,,,,,0,a,a,1,4.49153884847,-1.0,2.19932644422,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
0.133,16,1.133,4,0,20,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.10845544125,0.666651407645,0.982722569187,,,23,f,21,r,119.685159091,MaskierungsExperimentExpra,2017_Jan_10_1125,
