SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,144.051494908,,,,,,,,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,90,s,s,1,8.87462843042,-1.0,7.18216549435,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,0,a,s,0,7.9329952502,-1.0,4.44087608616,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,0,a,s,0,8.53297208825,-1.0,3.49925477563,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,0,a,s,0,7.51639686101,-1.0,1.72434204997,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,90,s,a,0,7.88299913191,-1.0,1.83271557452,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,0,a,s,0,5.42483242878,-1.0,1.19940029167,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,0,a,a,1,2.83332702422,-1.0,1.15775755153,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,90,s,a,0,4.17496828867,-1.0,1.20767539399,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,90,s,s,1,4.43321660397,-1.0,1.35775036555,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.0083,1,1.0083,1,4,9,4,,,,,,,,,,,,,,,,,,,90,s,a,0,2.2834518485,-1.0,1.19100328438,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.133,16,1.133,2,0,10,0,,,,,,,,,,,,,,,,,,,90,s,s,1,2.63339644589,-0.0234531166552,4.83246534851,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.067,8,1.067,2,1,11,1,,,,,,,,,,,,,,,,,,,0,a,s,0,6.57475437751,-0.656275272755,7.69897041623,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.033,4,1.033,2,2,12,2,,,,,,,,,,,,,,,,,,,0,a,a,1,2.93332567685,-1.0,2.72430419526,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.017,2,1.017,2,3,13,3,,,,,,,,,,,,,,,,,,,0,a,a,1,11.5077704799,-1.0,2.19933484795,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.0083,1,1.0083,2,4,14,4,,,,,,,,,,,,,,,,,,,0,a,a,1,3.19171835331,-1.0,1.43266931478,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.133,16,1.133,3,0,15,0,,,,,,,,,,,,,,,,,,,0,a,a,1,2.75832498712,-0.0234531166552,2.04103449847,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.067,8,1.067,3,1,16,1,,,,,,,,,,,,,,,,,,,90,s,s,1,1.5250797034,-1.52590218967e-05,1.6160657286,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.033,4,1.033,3,2,17,2,,,,,,,,,,,,,,,,,,,90,s,a,0,2.3583672689,-1.0,1.33273770989,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.017,2,1.017,3,3,18,3,,,,,,,,,,,,,,,,,,,0,a,s,0,5.67480756658,-1.0,1.64939037887,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.0083,1,1.0083,3,4,19,4,,,,,,,,,,,,,,,,,,,0,a,a,1,3.22499744962,-1.0,1.71602588492,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.133,16,1.133,4,0,20,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.24180974996,1.0,1.94099702873,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.067,8,1.067,4,1,21,1,,,,,,,,,,,,,,,,,,,90,s,s,1,3.03329224922,-1.52590218967e-05,1.28273613796,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.033,4,1.033,4,2,22,2,,,,,,,,,,,,,,,,,,,0,a,a,1,2.55009235906,-1.0,1.24931588852,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
0.017,2,1.017,4,3,23,3,,,,,,,,,,,,,,,,,,,0,a,s,0,1.50839829051,-1.0,3.18264220697,,,,,28,m,20,r,119.653229335,MaskierungsExperimentExpra,2017_Jan_13_1739,
